"subject_id","treatment_id","paper_id","choice","endowment","cooperation"
"2017Tho028_2_905","2017Tho028_2","2017Tho028",5,20,0.25
"2017Tho028_2_911","2017Tho028_2","2017Tho028",0,20,0
"2017Tho028_2_916","2017Tho028_2","2017Tho028",5,20,0.25
"2017Tho028_2_918","2017Tho028_2","2017Tho028",10,20,0.5
"2017Tho028_2_919","2017Tho028_2","2017Tho028",5,20,0.25
"2017Tho028_2_922","2017Tho028_2","2017Tho028",6,20,0.3
"2017Tho028_2_923","2017Tho028_2","2017Tho028",0,20,0
"2017Tho028_2_924","2017Tho028_2","2017Tho028",0,20,0
"2017Tho028_2_928","2017Tho028_2","2017Tho028",5,20,0.25
"2017Tho028_2_929","2017Tho028_2","2017Tho028",10,20,0.5
"2017Tho028_2_930","2017Tho028_2","2017Tho028",0,20,0
"2017Tho028_2_931","2017Tho028_2","2017Tho028",6,20,0.3
"2017Tho028_2_1001","2017Tho028_2","2017Tho028",6,20,0.3
"2017Tho028_2_1005","2017Tho028_2","2017Tho028",4,20,0.2
"2017Tho028_2_1008","2017Tho028_2","2017Tho028",1,20,0.05
"2017Tho028_2_1009","2017Tho028_2","2017Tho028",0,20,0
"2017Tho028_2_1012","2017Tho028_2","2017Tho028",9,20,0.45
"2017Tho028_2_1013","2017Tho028_2","2017Tho028",0,20,0
"2017Tho028_2_1017","2017Tho028_2","2017Tho028",10,20,0.5
"2017Tho028_2_1019","2017Tho028_2","2017Tho028",0,20,0
"2017Tho028_2_1026","2017Tho028_2","2017Tho028",1,20,0.05
"2017Tho028_2_1030","2017Tho028_2","2017Tho028",10,20,0.5
"2017Tho028_2_1201","2017Tho028_2","2017Tho028",1,20,0.05
"2017Tho028_2_1203","2017Tho028_2","2017Tho028",8,20,0.4
"2017Tho028_2_1206","2017Tho028_2","2017Tho028",0,20,0
"2017Tho028_2_1208","2017Tho028_2","2017Tho028",6,20,0.3
"2017Tho028_2_1212","2017Tho028_2","2017Tho028",5,20,0.25
"2017Tho028_2_1216","2017Tho028_2","2017Tho028",8,20,0.4
"2017Tho028_2_1218","2017Tho028_2","2017Tho028",7,20,0.35
"2017Tho028_2_1226","2017Tho028_2","2017Tho028",5,20,0.25
"2017Tho028_2_1230","2017Tho028_2","2017Tho028",0,20,0
"2017Tho028_2_1302","2017Tho028_2","2017Tho028",6,20,0.3
"2017Tho028_2_1307","2017Tho028_2","2017Tho028",5,20,0.25
"2017Tho028_2_1308","2017Tho028_2","2017Tho028",8,20,0.4
"2017Tho028_2_1311","2017Tho028_2","2017Tho028",0,20,0
"2017Tho028_2_1312","2017Tho028_2","2017Tho028",6,20,0.3
"2017Tho028_2_1313","2017Tho028_2","2017Tho028",0,20,0
"2017Tho028_2_1317","2017Tho028_2","2017Tho028",0,20,0
"2017Tho028_2_1322","2017Tho028_2","2017Tho028",5,20,0.25
"2017Tho028_2_1331","2017Tho028_2","2017Tho028",8,20,0.4
"2017Tho028_1_106","2017Tho028_1","2017Tho028",0,20,0
"2017Tho028_1_108","2017Tho028_1","2017Tho028",5,20,0.25
"2017Tho028_1_109","2017Tho028_1","2017Tho028",0,20,0
"2017Tho028_1_112","2017Tho028_1","2017Tho028",5,20,0.25
"2017Tho028_1_113","2017Tho028_1","2017Tho028",8,20,0.4
"2017Tho028_1_115","2017Tho028_1","2017Tho028",10,20,0.5
"2017Tho028_1_117","2017Tho028_1","2017Tho028",4,20,0.2
"2017Tho028_1_118","2017Tho028_1","2017Tho028",10,20,0.5
"2017Tho028_1_119","2017Tho028_1","2017Tho028",4,20,0.2
"2017Tho028_1_120","2017Tho028_1","2017Tho028",5,20,0.25
"2017Tho028_1_121","2017Tho028_1","2017Tho028",2,20,0.1
"2017Tho028_1_123","2017Tho028_1","2017Tho028",1,20,0.05
"2017Tho028_1_126","2017Tho028_1","2017Tho028",2,20,0.1
"2017Tho028_1_127","2017Tho028_1","2017Tho028",5,20,0.25
"2017Tho028_1_130","2017Tho028_1","2017Tho028",5,20,0.25
"2017Tho028_1_132","2017Tho028_1","2017Tho028",5,20,0.25
"2017Tho028_1_203","2017Tho028_1","2017Tho028",10,20,0.5
"2017Tho028_1_204","2017Tho028_1","2017Tho028",10,20,0.5
"2017Tho028_1_211","2017Tho028_1","2017Tho028",0,20,0
"2017Tho028_1_212","2017Tho028_1","2017Tho028",2,20,0.1
"2017Tho028_1_213","2017Tho028_1","2017Tho028",2,20,0.1
"2017Tho028_1_216","2017Tho028_1","2017Tho028",8,20,0.4
"2017Tho028_1_217","2017Tho028_1","2017Tho028",0,20,0
"2017Tho028_1_218","2017Tho028_1","2017Tho028",2,20,0.1
"2017Tho028_1_219","2017Tho028_1","2017Tho028",10,20,0.5
"2017Tho028_1_220","2017Tho028_1","2017Tho028",0,20,0
"2017Tho028_1_221","2017Tho028_1","2017Tho028",0,20,0
"2017Tho028_1_702","2017Tho028_1","2017Tho028",2,20,0.1
"2017Tho028_1_703","2017Tho028_1","2017Tho028",8,20,0.4
"2017Tho028_1_704","2017Tho028_1","2017Tho028",8,20,0.4
"2017Tho028_1_705","2017Tho028_1","2017Tho028",7,20,0.35
"2017Tho028_1_707","2017Tho028_1","2017Tho028",5,20,0.25
"2017Tho028_1_708","2017Tho028_1","2017Tho028",0,20,0
"2017Tho028_1_710","2017Tho028_1","2017Tho028",8,20,0.4
"2017Tho028_1_711","2017Tho028_1","2017Tho028",5,20,0.25
"2017Tho028_1_716","2017Tho028_1","2017Tho028",2,20,0.1
"2017Tho028_1_719","2017Tho028_1","2017Tho028",10,20,0.5
"2017Tho028_1_1102","2017Tho028_1","2017Tho028",4,20,0.2
"2017Tho028_1_1104","2017Tho028_1","2017Tho028",4,20,0.2
"2017Tho028_1_1105","2017Tho028_1","2017Tho028",4,20,0.2
"2017Tho028_1_1109","2017Tho028_1","2017Tho028",2,20,0.1
