"subject_id","scenarios","treatment_id","paper_id","p","choice","endowment","A","KW_score"
"2017Tho028_1_106",0,"2017Tho028_1","2017Tho028",1891,0,20,1,0.333333333333333
"2017Tho028_1_106",1,"2017Tho028_1","2017Tho028",1892,0,20,0,0.333333333333333
"2017Tho028_1_106",2,"2017Tho028_1","2017Tho028",1893,0,20,0,0.333333333333333
"2017Tho028_1_106",3,"2017Tho028_1","2017Tho028",1894,0,20,0,0.333333333333333
"2017Tho028_1_106",4,"2017Tho028_1","2017Tho028",1895,0,20,0,0.333333333333333
"2017Tho028_1_106",5,"2017Tho028_1","2017Tho028",1896,0,20,0,0.333333333333333
"2017Tho028_1_108",0,"2017Tho028_1","2017Tho028",1912,5,20,0,-0.333333333333333
"2017Tho028_1_108",1,"2017Tho028_1","2017Tho028",1913,5,20,0,0.333333333333333
"2017Tho028_1_108",2,"2017Tho028_1","2017Tho028",1914,5,20,0,0.333333333333333
"2017Tho028_1_108",3,"2017Tho028_1","2017Tho028",1915,5,20,0,0.333333333333333
"2017Tho028_1_108",4,"2017Tho028_1","2017Tho028",1916,5,20,0,1
"2017Tho028_1_108",5,"2017Tho028_1","2017Tho028",1917,5,20,1,1
"2017Tho028_1_109",0,"2017Tho028_1","2017Tho028",1933,0,20,1,-0.333333333333333
"2017Tho028_1_109",1,"2017Tho028_1","2017Tho028",1934,0,20,0,-0.333333333333333
"2017Tho028_1_109",2,"2017Tho028_1","2017Tho028",1935,0,20,0,-0.333333333333333
"2017Tho028_1_109",3,"2017Tho028_1","2017Tho028",1936,0,20,0,0.333333333333333
"2017Tho028_1_109",4,"2017Tho028_1","2017Tho028",1937,0,20,0,0.333333333333333
"2017Tho028_1_109",5,"2017Tho028_1","2017Tho028",1938,0,20,0,1
"2017Tho028_1_1102",0,"2017Tho028_1","2017Tho028",2668,4,20,0,-1
"2017Tho028_1_1102",1,"2017Tho028_1","2017Tho028",2669,4,20,0,-0.333333333333333
"2017Tho028_1_1102",2,"2017Tho028_1","2017Tho028",2670,4,20,0,0.333333333333333
"2017Tho028_1_1102",3,"2017Tho028_1","2017Tho028",2671,4,20,0,0.333333333333333
"2017Tho028_1_1102",4,"2017Tho028_1","2017Tho028",2672,4,20,1,1
"2017Tho028_1_1102",5,"2017Tho028_1","2017Tho028",2673,4,20,0,1
"2017Tho028_1_1104",0,"2017Tho028_1","2017Tho028",2689,4,20,0,-1
"2017Tho028_1_1104",1,"2017Tho028_1","2017Tho028",2690,4,20,0,-1
"2017Tho028_1_1104",2,"2017Tho028_1","2017Tho028",2691,4,20,0,-0.333333333333333
"2017Tho028_1_1104",3,"2017Tho028_1","2017Tho028",2692,4,20,0,-0.333333333333333
"2017Tho028_1_1104",4,"2017Tho028_1","2017Tho028",2693,4,20,1,0.333333333333333
"2017Tho028_1_1104",5,"2017Tho028_1","2017Tho028",2694,4,20,0,1
"2017Tho028_1_1105",0,"2017Tho028_1","2017Tho028",2710,4,20,0,-0.333333333333333
"2017Tho028_1_1105",1,"2017Tho028_1","2017Tho028",2711,4,20,0,-0.333333333333333
"2017Tho028_1_1105",2,"2017Tho028_1","2017Tho028",2712,4,20,0,-0.333333333333333
"2017Tho028_1_1105",3,"2017Tho028_1","2017Tho028",2713,4,20,0,-0.333333333333333
"2017Tho028_1_1105",4,"2017Tho028_1","2017Tho028",2714,4,20,1,0.333333333333333
"2017Tho028_1_1105",5,"2017Tho028_1","2017Tho028",2715,4,20,0,1
"2017Tho028_1_1109",0,"2017Tho028_1","2017Tho028",2731,2,20,0,-1
"2017Tho028_1_1109",1,"2017Tho028_1","2017Tho028",2732,2,20,0,-0.333333333333333
"2017Tho028_1_1109",2,"2017Tho028_1","2017Tho028",2733,2,20,1,-0.333333333333333
"2017Tho028_1_1109",3,"2017Tho028_1","2017Tho028",2734,2,20,0,0.333333333333333
"2017Tho028_1_1109",4,"2017Tho028_1","2017Tho028",2735,2,20,0,1
"2017Tho028_1_1109",5,"2017Tho028_1","2017Tho028",2736,2,20,0,1
"2017Tho028_1_1114",0,"2017Tho028_1","2017Tho028",2752,0,20,1,-1
"2017Tho028_1_1114",1,"2017Tho028_1","2017Tho028",2753,0,20,0,-1
"2017Tho028_1_1114",2,"2017Tho028_1","2017Tho028",2754,0,20,0,-0.333333333333333
"2017Tho028_1_1114",3,"2017Tho028_1","2017Tho028",2755,0,20,0,-0.333333333333333
"2017Tho028_1_1114",4,"2017Tho028_1","2017Tho028",2756,0,20,0,0.333333333333333
"2017Tho028_1_1114",5,"2017Tho028_1","2017Tho028",2757,0,20,0,1
"2017Tho028_1_1115",0,"2017Tho028_1","2017Tho028",2773,7,20,0,-0.333333333333333
"2017Tho028_1_1115",1,"2017Tho028_1","2017Tho028",2774,7,20,0,-0.333333333333333
"2017Tho028_1_1115",2,"2017Tho028_1","2017Tho028",2775,7,20,0,-0.333333333333333
"2017Tho028_1_1115",3,"2017Tho028_1","2017Tho028",2776,7,20,0,0.333333333333333
"2017Tho028_1_1115",4,"2017Tho028_1","2017Tho028",2777,7,20,0,1
"2017Tho028_1_1115",5,"2017Tho028_1","2017Tho028",2778,7,20,0,1
"2017Tho028_1_1116",0,"2017Tho028_1","2017Tho028",2794,10,20,0,-1
"2017Tho028_1_1116",1,"2017Tho028_1","2017Tho028",2795,10,20,0,-1
"2017Tho028_1_1116",2,"2017Tho028_1","2017Tho028",2796,10,20,0,-1
"2017Tho028_1_1116",3,"2017Tho028_1","2017Tho028",2797,10,20,0,-0.333333333333333
"2017Tho028_1_1116",4,"2017Tho028_1","2017Tho028",2798,10,20,0,0.333333333333333
