"subject_id","treatment_id","paper_id","choice","endowment","cooperation","gender","age"
"2017Del037_1_815","2017Del037_1","2017Del037",5,12,0.416666666666667,1,34
"2017Del037_1_817","2017Del037_1","2017Del037",1,11,0.0909090909090909,1,36
"2017Del037_1_819","2017Del037_1","2017Del037",1,11,0.0909090909090909,0,31
"2017Del037_1_820","2017Del037_1","2017Del037",1,6,0.166666666666667,0,34
"2017Del037_1_901","2017Del037_1","2017Del037",5,15,0.333333333333333,1,32
"2017Del037_1_903","2017Del037_1","2017Del037",6,12,0.5,1,34
"2017Del037_1_906","2017Del037_1","2017Del037",2,8,0.25,0,33
"2017Del037_1_908","2017Del037_1","2017Del037",0,12,0,1,35
"2017Del037_1_909","2017Del037_1","2017Del037",2,5,0.4,0,24
"2017Del037_1_910","2017Del037_1","2017Del037",4,11,0.363636363636364,1,31
"2017Del037_1_911","2017Del037_1","2017Del037",3,12,0.25,1,36
"2017Del037_1_916","2017Del037_1","2017Del037",6,12,0.5,0,34
"2017Del037_1_917","2017Del037_1","2017Del037",3,9,0.333333333333333,0,35
"2017Del037_1_918","2017Del037_1","2017Del037",1,10,0.1,1,32
"2017Del037_1_920","2017Del037_1","2017Del037",0,0,NA,0,33
"2020Bas115_2a_aagi12","2020Bas115_2a","2020Bas115",3,10,0.3,1,26
"2020Bas115_2a_aamu03","2020Bas115_2a","2020Bas115",0,10,0,1,28
"2020Bas115_2a_aape01","2020Bas115_2a","2020Bas115",5,10,0.5,0,67
"2020Bas115_2a_aapo29","2020Bas115_2a","2020Bas115",4,10,0.4,1,21
"2020Bas115_2a_aasi28","2020Bas115_2a","2020Bas115",3,10,0.3,1,25
"2020Bas115_2a_aatu01","2020Bas115_2a","2020Bas115",3,10,0.3,1,25
"2020Bas115_2a_abab05","2020Bas115_2a","2020Bas115",0,10,0,1,25
"2020Bas115_2a_abhu15","2020Bas115_2a","2020Bas115",0,10,0,1,25
"2020Bas115_2a_abmo19","2020Bas115_2a","2020Bas115",3,10,0.3,0,23
"2020Bas115_2a_abnu06","2020Bas115_2a","2020Bas115",3,10,0.3,0,26
"2020Bas115_2a_abro29","2020Bas115_2a","2020Bas115",1,10,0.1,1,23
"2020Bas115_2a_abua11","2020Bas115_2a","2020Bas115",0,10,0,0,25
"2020Bas115_2a_aera20","2020Bas115_2a","2020Bas115",5,10,0.5,1,23
"2020Bas115_2a_ahfo02","2020Bas115_2a","2020Bas115",5,10,0.5,1,25
"2020Bas115_2a_ahro05","2020Bas115_2a","2020Bas115",5,10,0.5,1,26
"2020Bas115_2a_airr24","2020Bas115_2a","2020Bas115",5,10,0.5,0,25
"2020Bas115_2a_aiua23","2020Bas115_2a","2020Bas115",5,10,0.5,0,20
"2020Bas115_2a_ajee04","2020Bas115_2a","2020Bas115",0,10,0,1,26
"2020Bas115_2a_ajmu24","2020Bas115_2a","2020Bas115",5,10,0.5,1,25
"2020Bas115_2a_albu24","2020Bas115_2a","2020Bas115",1,10,0.1,0,28
"2020Bas115_2a_amdi04","2020Bas115_2a","2020Bas115",5,10,0.5,0,20
"2020Bas115_2a_amhe10","2020Bas115_2a","2020Bas115",4,10,0.4,1,22
"2020Bas115_2a_amko28","2020Bas115_2a","2020Bas115",6,10,0.6,0,21
"2020Bas115_2a_amma24","2020Bas115_2a","2020Bas115",0,10,0,1,29
"2020Bas115_2a_amsa26","2020Bas115_2a","2020Bas115",0,10,0,0,25
"2020Bas115_2a_amwo05","2020Bas115_2a","2020Bas115",0,10,0,0,27
"2020Bas115_2a_amwo27","2020Bas115_2a","2020Bas115",5,10,0.5,0,24
"2020Bas115_2a_anga10","2020Bas115_2a","2020Bas115",1,10,0.1,0,22
"2020Bas115_2a_apbo30","2020Bas115_2a","2020Bas115",3,10,0.3,1,20
"2020Bas115_2a_arge05","2020Bas115_2a","2020Bas115",0,10,0,1,23
"2020Bas115_2a_armo27","2020Bas115_2a","2020Bas115",4,10,0.4,1,21
"2020Bas115_2a_arwa10","2020Bas115_2a","2020Bas115",0,10,0,1,29
"2020Bas115_2a_asau12","2020Bas115_2a","2020Bas115",3,10,0.3,1,26
"2020Bas115_2a_ascr05","2020Bas115_2a","2020Bas115",0,10,0,1,20
"2020Bas115_2a_asdo03","2020Bas115_2a","2020Bas115",0,10,0,0,19
"2020Bas115_2a_asso04","2020Bas115_2a","2020Bas115",3,10,0.3,1,23
"2020Bas115_2a_asto28","2020Bas115_2a","2020Bas115",0,10,0,1,22
"2020Bas115_2a_asue29","2020Bas115_2a","2020Bas115",4,10,0.4,1,23
"2020Bas115_2a_bfno09","2020Bas115_2a","2020Bas115",4,10,0.4,1,27
"2020Bas115_2a_bsoo05","2020Bas115_2a","2020Bas115",0,10,0,0,20
"2020Bas115_2a_eaau14","2020Bas115_2a","2020Bas115",0,10,0,0,25
"2020Bas115_2a_eahr19","2020Bas115_2a","2020Bas115",5,10,0.5,1,25
"2020Bas115_2a_ebge20","2020Bas115_2a","2020Bas115",5,10,0.5,1,20
"2020Bas115_2a_ecce01","2020Bas115_2a","2020Bas115",0,10,0,1,23
"2020Bas115_2a_ecma28","2020Bas115_2a","2020Bas115",0,10,0,0,27
"2020Bas115_2a_eete24","2020Bas115_2a","2020Bas115",3,10,0.3,1,36
"2020Bas115_2a_efhe22","2020Bas115_2a","2020Bas115",5,10,0.5,1,28
"2020Bas115_2a_egke10","2020Bas115_2a","2020Bas115",0,10,0,0,25
"2020Bas115_2a_ehau28","2020Bas115_2a","2020Bas115",5,10,0.5,1,28
"2020Bas115_2a_ejme24","2020Bas115_2a","2020Bas115",5,10,0.5,1,74
"2020Bas115_2a_ekto27","2020Bas115_2a","2020Bas115",2,10,0.2,0,25
"2020Bas115_2a_emiu17","2020Bas115_2a","2020Bas115",5,10,0.5,1,21
"2020Bas115_2a_enhe06","2020Bas115_2a","2020Bas115",10,10,1,1,36
"2020Bas115_2a_esno30","2020Bas115_2a","2020Bas115",4,10,0.4,0,32
"2020Bas115_2a_espo28","2020Bas115_2a","2020Bas115",2,10,0.2,1,27
"2020Bas115_2a_essu11","2020Bas115_2a","2020Bas115",2,10,0.2,1,26
"2020Bas115_2a_ezha19","2020Bas115_2a","2020Bas115",0,10,0,1,28
"2020Bas115_2a_ezma09","2020Bas115_2a","2020Bas115",4,10,0.4,0,22
"2020Bas115_2a_fezi02","2020Bas115_2a","2020Bas115",5,10,0.5,0,27
"2020Bas115_2a_hage06","2020Bas115_2a","2020Bas115",4,10,0.4,1,22
"2020Bas115_2a_hamu30","2020Bas115_2a","2020Bas115",5,10,0.5,0,28
"2020Bas115_2a_hbda07","2020Bas115_2a","2020Bas115",5,10,0.5,0,31
"2020Bas115_2a_hbge12","2020Bas115_2a","2020Bas115",5,10,0.5,1,23
"2020Bas115_2a_hhbs26","2020Bas115_2a","2020Bas115",5,10,0.5,0,36
"2020Bas115_2a_hith07","2020Bas115_2a","2020Bas115",3,10,0.3,0,30
"2020Bas115_2a_hwhr05","2020Bas115_2a","2020Bas115",3,10,0.3,0,26
"2020Bas115_2a_iajo26","2020Bas115_2a","2020Bas115",0,10,0,0,19
"2020Bas115_2a_ibde07","2020Bas115_2a","2020Bas115",3,10,0.3,1,23
"2020Bas115_2a_ibja09","2020Bas115_2a","2020Bas115",0,10,0,1,26
"2020Bas115_2a_ibso07","2020Bas115_2a","2020Bas115",0,10,0,1,27
"2020Bas115_2a_icho19","2020Bas115_2a","2020Bas115",0,10,0,1,28
"2020Bas115_2a_idiu15","2020Bas115_2a","2020Bas115",4,10,0.4,1,25
"2020Bas115_2a_igha19","2020Bas115_2a","2020Bas115",5,10,0.5,1,20
"2020Bas115_2a_iiae13","2020Bas115_2a","2020Bas115",4,10,0.4,1,29
"2020Bas115_2a_iice13","2020Bas115_2a","2020Bas115",3,10,0.3,1,21
"2020Bas115_2a_iimo13","2020Bas115_2a","2020Bas115",5,10,0.5,1,23
"2020Bas115_2a_ijjo09","2020Bas115_2a","2020Bas115",3,10,0.3,1,22
"2020Bas115_2a_imja22","2020Bas115_2a","2020Bas115",0,10,0,1,23
"2020Bas115_2a_imwo14","2020Bas115_2a","2020Bas115",0,10,0,1,25
"2020Bas115_2a_ipah25","2020Bas115_2a","2020Bas115",1,10,0.1,0,28
"2020Bas115_2a_jmbo10","2020Bas115_2a","2020Bas115",0,10,0,0,35
"2020Bas115_2a_lahi20","2020Bas115_2a","2020Bas115",5,10,0.5,1,21
