"Design","k","basegammaNU","baseetaNU","gammaNU","etaNU","nuNU","se_basegammaNU","se_baseetaNU","se_gammaNU","se_etaNU","se_nuNU","baseNU_AIC","NU_AIC"
"Within",5,6.21432269499361,2.10814353721132,3.92032580049456,4.95593753753284,3.89889656122021,0.49831100870098,0.739249863325977,1.45055039479505,1.21036289479966,1.8393063263806,640.88775,639.8004584
"Between",9,4.92606579337084,3.93931240805983,3.357540323163,1.97922031967346,3.90102058820597,0.60747529007798,1.17998362446047,1.22926218192397,1.57723204953899,1.36698092963146,244.993398777778,245.141879222222
