"Design","k","deltaS","deltaN","gammaN","rhoDA","sigmaDA","rhoFU","sigmaFU","gammaFU","se_deltaS","se_deltaN","se_gammaN","se_rhoDA","se_sigmaDA","se_rhoFU","se_sigmaFU","se_gammaFU","N_AIC","DA_AIC","FU_AIC"
"Within",5,0.10317415148644,0.367136854760922,3.49091002136865,0.511521769208977,0.319461606098602,0.0595585904675863,0.526177639376943,6.8213069884559,0.00561937083100769,0.0387114227082015,0.300273136649366,0.00706760681183961,0.0216404263679425,0.0289527076225508,0.0236479304668167,0.409420515389313,695.2206786,754.561509,661.4550274
"Between",9,0.25929642187486,0.855441636983925,2.76714481524011,0.43968781682986,-3.79209354967422,0.0365087909006688,-3.49854939903694,3.06296911902057,0.0154503057797265,0.078074092109765,0.302499000111745,0.0146715148403435,0.0647219076606196,0.0614493323051191,0.0635452094124864,0.404236109558818,254.434929777778,264.223406666667,251.024306333333
