"PaperID","TreatmentCode","n_Paper","TreatmentName_paper","Year","Outlet","Published","FirstTask","between_vs_within","Game_type","Standard_game","Group_size","One_Shot_Repeated","Choice_Method","Matching","Rounds","Punishment","Rewards","Monetary_Incentivized_experiment","Environment","Method_elicitation","Separate_sample_beliefs","Belief_repeated","Before_after_main_decisions","KW_Normative","KW_Personal","Bicchieri_Empirical","Bicchieri_Normative","Bicchieri_Personal_Beliefs","Bicchieri_between","Incentives_beliefs","StatusTreatment_Roma","Avg_coop","Var_coop","Avg_NE","Var_NE","Sd_Avg_NE","Sd_Avg_NE_min_max","specificity","max_sigma","Avg_EE","Avg_PNB","Var_EE","Var_PNB"
"2019Cha026",2,26,"Tax-framed",2019,"GEB","Published","N","between","DG","Partially - Varying endowment betw D R","2","Repeated","Direct","S","11","N","N","Y","Online","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.32258064516129,0.0808976157082749,0.5,0.465126297975426,0.30998904985853,0.52000000412975,0.403809524859701,0.402888124148268,NA,NA,NA,NA
"2019Cha026",1,26,"Neutrally-framed",2019,"GEB","Published","N","between","DG","Partially - Varying endowment betw D R","2","Repeated","Direct","S","11","N","N","Y","Online","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.335714285714286,0.0816103896103896,0.5,0.128498680440348,0.376952403732024,0.741176478345605,0.375630258230352,0.402974018643253,NA,NA,NA,NA
