"donation","Kw_m","PaperID","TreatmentCode"
"0",-0.0245098039215686,"2021Kon127",10
"1",0.122549019607843,"2021Kon127",10
"2",0.12156862745098,"2021Kon127",10
"3",0.174509803921569,"2021Kon127",10
"4",0.38921568627451,"2021Kon127",10
"5",0.546078431372549,"2021Kon127",10
"6",0.397058823529412,"2021Kon127",10
"7",0.170588235294118,"2021Kon127",10
"8",0.203921568627451,"2021Kon127",10
"9",0.18921568627451,"2021Kon127",10
"10",0.186274509803922,"2021Kon127",10
"0",-0.0669902912621359,"2021Kon127",9
"1",0.0116504854368932,"2021Kon127",9
"2",0.0669902912621359,"2021Kon127",9
"3",0.17378640776699,"2021Kon127",9
"4",0.30873786407767,"2021Kon127",9
"5",0.533980582524272,"2021Kon127",9
"6",0.375728155339806,"2021Kon127",9
"7",0.224271844660194,"2021Kon127",9
"8",0.207766990291262,"2021Kon127",9
"9",0.161165048543689,"2021Kon127",9
"10",0.136893203883495,"2021Kon127",9
"0",0.0361904761904762,"2021Kon127",8
"1",0.140952380952381,"2021Kon127",8
"2",0.19047619047619,"2021Kon127",8
"3",0.320952380952381,"2021Kon127",8
"4",0.354285714285714,"2021Kon127",8
"5",0.558095238095238,"2021Kon127",8
"6",0.344761904761905,"2021Kon127",8
"7",0.3,"2021Kon127",8
"8",0.292380952380952,"2021Kon127",8
"9",0.315238095238095,"2021Kon127",8
"10",0.247619047619048,"2021Kon127",8
"0",-0.0718446601941748,"2021Kon127",7
"1",0.00679611650485437,"2021Kon127",7
"2",0.0271844660194175,"2021Kon127",7
"3",0.193203883495146,"2021Kon127",7
"4",0.300970873786408,"2021Kon127",7
"5",0.542718446601942,"2021Kon127",7
"6",0.342718446601942,"2021Kon127",7
"7",0.267961165048544,"2021Kon127",7
"8",0.158252427184466,"2021Kon127",7
"9",0.190291262135922,"2021Kon127",7
"10",0.128155339805825,"2021Kon127",7
"0",0.201818181818182,"2021Kon127",4
"1",0.222727272727273,"2021Kon127",4
"2",0.345454545454545,"2021Kon127",4
"3",0.279090909090909,"2021Kon127",4
"4",0.340909090909091,"2021Kon127",4
"5",0.442727272727273,"2021Kon127",4
"6",0.411818181818182,"2021Kon127",4
"7",0.315454545454545,"2021Kon127",4
"8",0.308181818181818,"2021Kon127",4
"9",0.28,"2021Kon127",4
"10",0.373636363636364,"2021Kon127",4
"0",0.0330097087378641,"2021Kon127",3
"1",0.115533980582524,"2021Kon127",3
"2",0.233009708737864,"2021Kon127",3
"3",0.260194174757282,"2021Kon127",3
"4",0.331067961165049,"2021Kon127",3
"5",0.52621359223301,"2021Kon127",3
"6",0.385436893203883,"2021Kon127",3
"7",0.300970873786408,"2021Kon127",3
"8",0.303883495145631,"2021Kon127",3
"9",0.261165048543689,"2021Kon127",3
"10",0.221359223300971,"2021Kon127",3
"0",-0.0224299065420561,"2021Kon127",2
"1",0.0196261682242991,"2021Kon127",2
"2",0.216822429906542,"2021Kon127",2
"3",0.206542056074766,"2021Kon127",2
"4",0.371028037383178,"2021Kon127",2
"5",0.498130841121495,"2021Kon127",2
"6",0.329906542056075,"2021Kon127",2
"7",0.22803738317757,"2021Kon127",2
"8",0.21214953271028,"2021Kon127",2
"9",0.162616822429907,"2021Kon127",2
"10",0.111214953271028,"2021Kon127",2
"0",-0.142718446601942,"2021Kon127",1
"1",-0.0368932038834951,"2021Kon127",1
"2",0.0912621359223301,"2021Kon127",1
"3",0.164077669902913,"2021Kon127",1
"4",0.257281553398058,"2021Kon127",1
"5",0.542718446601942,"2021Kon127",1
"6",0.358252427184466,"2021Kon127",1
"7",0.285436893203883,"2021Kon127",1
"8",0.280582524271845,"2021Kon127",1
"9",0.286407766990291,"2021Kon127",1
"10",0.203883495145631,"2021Kon127",1
