"","treatment_id","scenarios","subject_id","paper_id","Game_type","choice","A","endowment","female","age","Design","mean_app","sd_app"
"1","2007Lis165_1a",0,"2007Lis165_1a_1","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"2","2007Lis165_1a",0,"2007Lis165_1a_2","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"3","2007Lis165_1a",0,"2007Lis165_1a_8","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"4","2007Lis165_1a",0,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"5","2007Lis165_1a",0,"2007Lis165_1a_13","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"6","2007Lis165_1a",0,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"7","2007Lis165_1a",0,"2007Lis165_1a_18","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"8","2007Lis165_1a",0,"2007Lis165_1a_6","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"9","2007Lis165_1a",0,"2007Lis165_1a_17","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"10","2007Lis165_1a",0,"2007Lis165_1a_5","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"11","2007Lis165_1a",0,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"12","2007Lis165_1a",0,"2007Lis165_1a_10","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"13","2007Lis165_1a",0,"2007Lis165_1a_20","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"14","2007Lis165_1a",0,"2007Lis165_1a_9","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"15","2007Lis165_1a",0,"2007Lis165_1a_3","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"16","2007Lis165_1a",0,"2007Lis165_1a_14","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"17","2007Lis165_1a",0,"2007Lis165_1a_12","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"18","2007Lis165_1a",0,"2007Lis165_1a_19","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"19","2007Lis165_1a",0,"2007Lis165_1a_7","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"20","2007Lis165_1a",0,"2007Lis165_1a_16","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"21","2007Lis165_1a",0,"2007Lis165_1a_22","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
"22","2007Lis165_1a",0,"2007Lis165_1a_11","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.776666671037674,0.34598650548966
