"subject_id","treatment_id","paper_id","Game_type","scenarios","Design","KW_Normative","KW_Personal","Bicchieri_Empirical","Bicchieri_Normative","Bicchieri_Personal"
"2020Bas115_1a_abcn29","2020Bas115_1a","2020Bas115","DG",3,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_abcn29","2020Bas115_1a","2020Bas115","DG",4,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_abcn29","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abcn29","2020Bas115_1a","2020Bas115","DG",6,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abcn29","2020Bas115_1a","2020Bas115","DG",7,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abcn29","2020Bas115_1a","2020Bas115","DG",8,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abcn29","2020Bas115_1a","2020Bas115","DG",9,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abcn29","2020Bas115_1a","2020Bas115","DG",10,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abco29","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_abco29","2020Bas115_1a","2020Bas115","DG",1,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_abco29","2020Bas115_1a","2020Bas115","DG",2,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_abco29","2020Bas115_1a","2020Bas115","DG",3,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_abco29","2020Bas115_1a","2020Bas115","DG",4,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_abco29","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abco29","2020Bas115_1a","2020Bas115","DG",6,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_abco29","2020Bas115_1a","2020Bas115","DG",7,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_abco29","2020Bas115_1a","2020Bas115","DG",8,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_abco29","2020Bas115_1a","2020Bas115","DG",9,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_abco29","2020Bas115_1a","2020Bas115","DG",10,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_abdo25","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_abdo25","2020Bas115_1a","2020Bas115","DG",1,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_abdo25","2020Bas115_1a","2020Bas115","DG",2,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_abdo25","2020Bas115_1a","2020Bas115","DG",3,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_abdo25","2020Bas115_1a","2020Bas115","DG",4,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_abdo25","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abdo25","2020Bas115_1a","2020Bas115","DG",6,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abdo25","2020Bas115_1a","2020Bas115","DG",7,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abdo25","2020Bas115_1a","2020Bas115","DG",8,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abdo25","2020Bas115_1a","2020Bas115","DG",9,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abdo25","2020Bas115_1a","2020Bas115","DG",10,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abju25","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_abju25","2020Bas115_1a","2020Bas115","DG",1,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_abju25","2020Bas115_1a","2020Bas115","DG",2,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_abju25","2020Bas115_1a","2020Bas115","DG",3,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_abju25","2020Bas115_1a","2020Bas115","DG",4,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_abju25","2020Bas115_1a","2020Bas115","DG",5,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_abju25","2020Bas115_1a","2020Bas115","DG",6,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_abju25","2020Bas115_1a","2020Bas115","DG",7,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_abju25","2020Bas115_1a","2020Bas115","DG",8,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_abju25","2020Bas115_1a","2020Bas115","DG",9,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abju25","2020Bas115_1a","2020Bas115","DG",10,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abmt22","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_abmt22","2020Bas115_1a","2020Bas115","DG",1,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_abmt22","2020Bas115_1a","2020Bas115","DG",2,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_abmt22","2020Bas115_1a","2020Bas115","DG",3,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_abmt22","2020Bas115_1a","2020Bas115","DG",4,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_abmt22","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abmt22","2020Bas115_1a","2020Bas115","DG",6,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_abmt22","2020Bas115_1a","2020Bas115","DG",7,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_abmt22","2020Bas115_1a","2020Bas115","DG",8,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_abmt22","2020Bas115_1a","2020Bas115","DG",9,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_abmt22","2020Bas115_1a","2020Bas115","DG",10,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_aboo18","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_aboo18","2020Bas115_1a","2020Bas115","DG",1,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_aboo18","2020Bas115_1a","2020Bas115","DG",2,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_aboo18","2020Bas115_1a","2020Bas115","DG",3,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_aboo18","2020Bas115_1a","2020Bas115","DG",4,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_aboo18","2020Bas115_1a","2020Bas115","DG",5,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_aboo18","2020Bas115_1a","2020Bas115","DG",6,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_aboo18","2020Bas115_1a","2020Bas115","DG",7,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_aboo18","2020Bas115_1a","2020Bas115","DG",8,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_aboo18","2020Bas115_1a","2020Bas115","DG",9,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_aboo18","2020Bas115_1a","2020Bas115","DG",10,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abwt17","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_abwt17","2020Bas115_1a","2020Bas115","DG",1,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_abwt17","2020Bas115_1a","2020Bas115","DG",2,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_abwt17","2020Bas115_1a","2020Bas115","DG",3,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_abwt17","2020Bas115_1a","2020Bas115","DG",4,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_abwt17","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_abwt17","2020Bas115_1a","2020Bas115","DG",6,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_abwt17","2020Bas115_1a","2020Bas115","DG",7,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_abwt17","2020Bas115_1a","2020Bas115","DG",8,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_abwt17","2020Bas115_1a","2020Bas115","DG",9,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_abwt17","2020Bas115_1a","2020Bas115","DG",10,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_acje13","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_acje13","2020Bas115_1a","2020Bas115","DG",1,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_acje13","2020Bas115_1a","2020Bas115","DG",2,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_acje13","2020Bas115_1a","2020Bas115","DG",3,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_acje13","2020Bas115_1a","2020Bas115","DG",4,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_acje13","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_acje13","2020Bas115_1a","2020Bas115","DG",6,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_acje13","2020Bas115_1a","2020Bas115","DG",7,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_acje13","2020Bas115_1a","2020Bas115","DG",8,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_acje13","2020Bas115_1a","2020Bas115","DG",9,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_acje13","2020Bas115_1a","2020Bas115","DG",10,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_adgu03","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_adgu03","2020Bas115_1a","2020Bas115","DG",1,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_adgu03","2020Bas115_1a","2020Bas115","DG",2,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_adgu03","2020Bas115_1a","2020Bas115","DG",3,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_adgu03","2020Bas115_1a","2020Bas115","DG",4,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_adgu03","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_adgu03","2020Bas115_1a","2020Bas115","DG",6,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_adgu03","2020Bas115_1a","2020Bas115","DG",7,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_adgu03","2020Bas115_1a","2020Bas115","DG",8,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_adgu03","2020Bas115_1a","2020Bas115","DG",9,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_adgu03","2020Bas115_1a","2020Bas115","DG",10,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_aehr08","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_aehr08","2020Bas115_1a","2020Bas115","DG",1,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_aehr08","2020Bas115_1a","2020Bas115","DG",2,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_aehr08","2020Bas115_1a","2020Bas115","DG",3,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_aehr08","2020Bas115_1a","2020Bas115","DG",4,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_aehr08","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_aehr08","2020Bas115_1a","2020Bas115","DG",6,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_aehr08","2020Bas115_1a","2020Bas115","DG",7,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_aehr08","2020Bas115_1a","2020Bas115","DG",8,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_aehr08","2020Bas115_1a","2020Bas115","DG",9,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_aehr08","2020Bas115_1a","2020Bas115","DG",10,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_agdc16","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_agdc16","2020Bas115_1a","2020Bas115","DG",1,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_agdc16","2020Bas115_1a","2020Bas115","DG",2,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_agdc16","2020Bas115_1a","2020Bas115","DG",3,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_agdc16","2020Bas115_1a","2020Bas115","DG",4,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_agdc16","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_agdc16","2020Bas115_1a","2020Bas115","DG",6,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_agdc16","2020Bas115_1a","2020Bas115","DG",7,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_agdc16","2020Bas115_1a","2020Bas115","DG",8,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_agdc16","2020Bas115_1a","2020Bas115","DG",9,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_agdc16","2020Bas115_1a","2020Bas115","DG",10,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_agga18","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_agga18","2020Bas115_1a","2020Bas115","DG",1,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_agga18","2020Bas115_1a","2020Bas115","DG",2,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_agga18","2020Bas115_1a","2020Bas115","DG",3,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_agga18","2020Bas115_1a","2020Bas115","DG",4,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_agga18","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_agga18","2020Bas115_1a","2020Bas115","DG",6,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_agga18","2020Bas115_1a","2020Bas115","DG",7,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_agga18","2020Bas115_1a","2020Bas115","DG",8,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_agga18","2020Bas115_1a","2020Bas115","DG",9,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_agga18","2020Bas115_1a","2020Bas115","DG",10,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_agho14","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_agho14","2020Bas115_1a","2020Bas115","DG",1,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_agho14","2020Bas115_1a","2020Bas115","DG",2,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_agho14","2020Bas115_1a","2020Bas115","DG",3,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_agho14","2020Bas115_1a","2020Bas115","DG",4,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_agho14","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_agho14","2020Bas115_1a","2020Bas115","DG",6,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_agho14","2020Bas115_1a","2020Bas115","DG",7,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_agho14","2020Bas115_1a","2020Bas115","DG",8,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_agho14","2020Bas115_1a","2020Bas115","DG",9,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_agho14","2020Bas115_1a","2020Bas115","DG",10,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_agoo23","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_agoo23","2020Bas115_1a","2020Bas115","DG",1,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_agoo23","2020Bas115_1a","2020Bas115","DG",2,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_agoo23","2020Bas115_1a","2020Bas115","DG",3,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_agoo23","2020Bas115_1a","2020Bas115","DG",4,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_agoo23","2020Bas115_1a","2020Bas115","DG",5,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_agoo23","2020Bas115_1a","2020Bas115","DG",6,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_agoo23","2020Bas115_1a","2020Bas115","DG",7,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_agoo23","2020Bas115_1a","2020Bas115","DG",8,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_agoo23","2020Bas115_1a","2020Bas115","DG",9,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_agoo23","2020Bas115_1a","2020Bas115","DG",10,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_aida08","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_aida08","2020Bas115_1a","2020Bas115","DG",1,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_aida08","2020Bas115_1a","2020Bas115","DG",2,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_aida08","2020Bas115_1a","2020Bas115","DG",3,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_aida08","2020Bas115_1a","2020Bas115","DG",4,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_aida08","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_aida08","2020Bas115_1a","2020Bas115","DG",6,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_aida08","2020Bas115_1a","2020Bas115","DG",7,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_aida08","2020Bas115_1a","2020Bas115","DG",8,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_aida08","2020Bas115_1a","2020Bas115","DG",9,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_aida08","2020Bas115_1a","2020Bas115","DG",10,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_aimo13","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_aimo13","2020Bas115_1a","2020Bas115","DG",1,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_aimo13","2020Bas115_1a","2020Bas115","DG",2,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_aimo13","2020Bas115_1a","2020Bas115","DG",3,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_aimo13","2020Bas115_1a","2020Bas115","DG",4,"Within",0.6,NA,NA,NA,NA
"2020Bas115_1a_aimo13","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_aimo13","2020Bas115_1a","2020Bas115","DG",6,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_aimo13","2020Bas115_1a","2020Bas115","DG",7,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_aimo13","2020Bas115_1a","2020Bas115","DG",8,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_aimo13","2020Bas115_1a","2020Bas115","DG",9,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_aimo13","2020Bas115_1a","2020Bas115","DG",10,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_akja06","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_akja06","2020Bas115_1a","2020Bas115","DG",1,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_akja06","2020Bas115_1a","2020Bas115","DG",2,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_akja06","2020Bas115_1a","2020Bas115","DG",3,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_akja06","2020Bas115_1a","2020Bas115","DG",4,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_akja06","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_akja06","2020Bas115_1a","2020Bas115","DG",6,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_akja06","2020Bas115_1a","2020Bas115","DG",7,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_akja06","2020Bas115_1a","2020Bas115","DG",8,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_akja06","2020Bas115_1a","2020Bas115","DG",9,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_akja06","2020Bas115_1a","2020Bas115","DG",10,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_akmo15","2020Bas115_1a","2020Bas115","DG",0,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_akmo15","2020Bas115_1a","2020Bas115","DG",1,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_akmo15","2020Bas115_1a","2020Bas115","DG",2,"Within",-1,NA,NA,NA,NA
"2020Bas115_1a_akmo15","2020Bas115_1a","2020Bas115","DG",3,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_akmo15","2020Bas115_1a","2020Bas115","DG",4,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_akmo15","2020Bas115_1a","2020Bas115","DG",5,"Within",1,NA,NA,NA,NA
"2020Bas115_1a_akmo15","2020Bas115_1a","2020Bas115","DG",6,"Within",0.3,NA,NA,NA,NA
"2020Bas115_1a_akmo15","2020Bas115_1a","2020Bas115","DG",7,"Within",-0.3,NA,NA,NA,NA
"2020Bas115_1a_akmo15","2020Bas115_1a","2020Bas115","DG",8,"Within",-0.6,NA,NA,NA,NA
"2020Bas115_1a_akmo15","2020Bas115_1a","2020Bas115","DG",9,"Within",-1,NA,NA,NA,NA
