"PaperID","TreatmentCode","n_Paper","TreatmentName_paper","Year","Outlet","Published","FirstTask","between_vs_within","Game_type","Standard_game","Group_size","One_Shot_Repeated","Choice_Method","Matching","Rounds","Punishment","Rewards","Monetary_Incentivized_experiment","Environment","Method_elicitation","Separate_sample_beliefs","Belief_repeated","Before_after_main_decisions","KW_Normative","KW_Personal","Bicchieri_Empirical","Bicchieri_Normative","Bicchieri_Personal_Beliefs","Bicchieri_between","Incentives_beliefs","StatusTreatment_Roma","Avg_coop","Var_coop","Avg_NE","Var_NE","Sd_Avg_NE","Sd_Avg_NE_min_max","specificity","max_sigma","Avg_EE","Avg_PNB","Var_EE","Var_PNB"
"2019Dro082","1a",82,"Donation Game",2019,"WP","Working Paper","N","within","Donation Game","no check","2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y","Y",NA,NA,NA,NA,"N","6-Complete",0.0870719851107995,0.0122317927212083,0.153846153846154,0.235062890270926,0.460886022048567,0.582945736821705,0.428940564470284,0.400777454572217,NA,NA,NA,NA
"2018Her061","9",61,"GENExperiment_Money",2018,"WP","Working Paper","Y","between","DG","Y","2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.144736842105263,0.0360526315789474,0.5,0.184605658289869,0.536055547457004,0.614035087719298,0.618421052631579,0.337807806473021,NA,NA,NA,NA
"2019Tjo060","9",60,"Experiment 9",2019,"JBEE","Published","Y","between","DG","no check",NA,NA,"OnlyNorms",NA,NA,NA,NA,NA,"Classroom","KW","N","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.273219373219373,0.169803808359334,0.366666666666667,0.33125,0.337579789027889,NA,NA,NA,NA
"2019Tjo060","8",60,"Experiment 8",2019,"JBEE","Published","Y","between","DG","no check",NA,NA,"OnlyNorms",NA,NA,NA,NA,NA,"Lab","KW","N","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.322904303375392,0.208777305162587,0.525000001241763,0.33854166790843,0.334730963502289,NA,NA,NA,NA
"2017Ves049","1a",49,"noRisk",2017,"WP","Working Paper","Y","between","PGG","no check","4","Repeated","Direct","P",10,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.425735294117647,0.0651860184372256,1,0.439704016913319,0.382297566122727,0.459090909090909,0.536931818181818,0.337187025905915,NA,NA,NA,NA
"2017Ves049","2a",49,"IndependentRisk",2017,"WP","Working Paper","Y","between","PGG","no check","4","Repeated","Direct","P",10,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.4875,0.0877127659574468,1,0.431418439716312,0.378075256905631,0.435416666666667,0.490625,0.336860768426608,NA,NA,NA,NA
"2017Ves049","3a",49,"CorreletedRisk",2017,"WP","Working Paper","Y","between","PGG","no check","4","Repeated","Direct","P",10,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.425735294117647,0.0651860184372256,1,0.488926690079017,0.305639515220348,0.163235294117647,0.164338235294118,0.335811682202711,NA,NA,NA,NA
"2018Kim038","2",38,"GiveTakeDG",2018,"EcLetters","Published","N","between","DG","Y","2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.206764705882353,0.0584664923747277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018Kim038","1",38,"NeutralDG",2018,"EcLetters","Published","N","between","DG","Y","2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.199090909090909,0.0377945031712474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017Del037","3",37,"Out Treatment",2017,"GAMES","Published","N","between","DG","N","2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.286455537926126,0.0288818182508368,0.166666666666667,0.34005376344086,0.532239912822983,0.156862745098039,0.161764705882353,0.338346145948368,NA,NA,NA,NA
"2017Del037","2",37,"In Treatment",2017,"GAMES","Published","N","between","DG","N","2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.24130713036963,0.0341570076306669,0.166666666666667,0.34005376344086,0.49399084106712,0.375,0.53125,0.338667005333841,NA,NA,NA,NA
"2017Del037","1",37,"Base",2017,"GAMES","Published","N","between","DG","N","2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.238537898882726,0.0313350890328223,0.5,0.245210727969349,0.473842536050947,0.0444444444444445,0.0333333333333333,0.339031751810405,NA,NA,NA,NA
"2015Ves034","4",34,"KW_Incentivized",2015,"JDM","Published","N","between","UG","no check",NA,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","N","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.0358543417366947,0.593240283712889,0.933333333333333,0.980952380952381,0.338061701891407,NA,NA,NA,NA
"2015Ves034","1",34,"KW_Incentivized",2015,"JDM","Published","Y","between","UG","no check",NA,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","N","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.047534165181224,0.559799941296557,0.843137254901961,0.875,0.338346145948368,NA,NA,NA,NA
"2017Tho028","2",28,"Asym",2017,"JEBO","Published","Y","between","DG","Partially - Limited Actions","2","Repeated","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.186666666666667,0.0311685393258427,0.5,0.0623781676413255,0.663113880497985,0.81203007518797,0.921052631578947,0.334584119466487,NA,NA,NA,NA
"2017Tho028","1",28,"Base",2017,"JEBO","Published","Y","between","DG","Partially - Limited Actions","2","Repeated","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.204716981132075,0.0303138606676343,0.5,0.0967585873246251,0.626359523690037,0.880503144654088,1.0377358490566,0.336463292455227,NA,NA,NA,NA
"2019Cha026","2",26,"Tax-framed",2019,"GEB","Published","N","between","DG","Partially - Varying endowment betw D R","2","Repeated","Direct","S",11,"N","N","Y","Online","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.32258064516129,0.0808976157082749,0.5,0.465126297975426,0.30998904985853,0.52000000412975,0.504761906074626,0.402888124148268,NA,NA,NA,NA
"2019Cha026","1",26,"Neutrally-framed",2019,"GEB","Published","N","between","DG","Partially - Varying endowment betw D R","2","Repeated","Direct","S",11,"N","N","Y","Online","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.335714285714286,0.0816103896103896,0.5,0.128498680440348,0.376952403732024,0.741176478345605,0.469537822787939,0.402974018643253,NA,NA,NA,NA
"2016Kim003","9",3,"PGG_Norms",2016,"JEEA","Published",NA,"between","PGG","no check","4","OneShot","OnlyNorms","P",1,NA,NA,NA,"Lab","KW","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","6-Complete",NA,NA,0,0.229358927033346,0.617202272771327,0.527131782945736,0.488372093023256,0.337187025905915,NA,NA,NA,NA
"2016Kim003","8",3,"UG",2016,"JEEA","Published","N","between","UG","no check","2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.433976449275362,0.0105704730125746,0.5,0.175968753212046,0.563283110685526,0.765957446808511,0.838297872340425,0.336860768426608,NA,NA,NA,NA
"2016Kim003","6",3,"TG",2016,"JEEA","Published","N","between","TG","no check","2","Repeated","Direct","S",6,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.509114583333333,0.128715023825355,0.5,0.225305786822901,0.500992425885088,0.595744680851064,0.418439716312057,0.336860768426608,NA,NA,NA,NA
"2016Kim003","7",3,"DG",2016,"JEEA","Published","N","between","DG","Y","2","OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.250466417910448,0.0380709202566712,0.5,0.0866248308108773,0.59463534801609,0.728682170542636,0.725581395348837,0.337187025905915,NA,NA,NA,NA
