"treatment_id","scenarios","subject_id","paper_id","Game_type","choice","A","endowment","female","age","Design","mean_app","sd_app"
"2007Lis165_1a",0,"2007Lis165_1a_1","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_2","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_8","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_13","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_18","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_6","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_17","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_5","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_10","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_20","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_9","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_3","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_14","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_12","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_19","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_7","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_16","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_22","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_11","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_4","2007Lis165","DG",0,1,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0,"2007Lis165_1a_15","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.753809524433953,0.555103170451477
"2007Lis165_1a",0.5,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_5","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_8","2007Lis165","DG",0.5,1,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_9","2007Lis165","DG",0.5,1,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_3","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_2","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_22","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_7","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_6","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_4","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_17","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_1","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_11","2007Lis165","DG",0.5,1,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_14","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_20","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_13","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_15","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_18","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_12","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_16","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_19","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",0.5,"2007Lis165_1a_10","2007Lis165","DG",0.5,1,5,NA,NA,"Between",-0.571071429976395,0.590911117049045
"2007Lis165_1a",1,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_5","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_8","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_22","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_3","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_9","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_2","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_4","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_13","2007Lis165","DG",1,1,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_19","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_7","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_14","2007Lis165","DG",1,1,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_6","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_17","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_11","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_18","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_16","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_20","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_15","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_1","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_12","2007Lis165","DG",1,1,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1,"2007Lis165_1a_10","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.419523813894817,0.525021870965567
"2007Lis165_1a",1.5,"2007Lis165_1a_3","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_13","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_14","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_22","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_11","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_12","2007Lis165","DG",1,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_4","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_15","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_1","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_2","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_8","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_6","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_19","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_7","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_18","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_10","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_17","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_5","2007Lis165","DG",0,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_16","2007Lis165","DG",2,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_20","2007Lis165","DG",2.5,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",1.5,"2007Lis165_1a_9","2007Lis165","DG",0.5,0,5,NA,NA,"Between",-0.157976193442231,0.495980912852103
"2007Lis165_1a",2,"2007Lis165_1a_8","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.165595242310138,0.471200347936349
"2007Lis165_1a",2,"2007Lis165_1a_9","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.165595242310138,0.471200347936349
"2007Lis165_1a",2,"2007Lis165_1a_3","2007Lis165","DG",0,0,5,NA,NA,"Between",0.165595242310138,0.471200347936349
"2007Lis165_1a",2,"2007Lis165_1a_14","2007Lis165","DG",1,0,5,NA,NA,"Between",0.165595242310138,0.471200347936349
"2007Lis165_1a",2,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",0.165595242310138,0.471200347936349
"2007Lis165_1a",2,"2007Lis165_1a_13","2007Lis165","DG",1,0,5,NA,NA,"Between",0.165595242310138,0.471200347936349
"2007Lis165_1a",2,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",0.165595242310138,0.471200347936349
"2007Lis165_1a",2,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.165595242310138,0.471200347936349
"2007Lis165_1a",2,"2007Lis165_1a_6","2007Lis165","DG",0,0,5,NA,NA,"Between",0.165595242310138,0.471200347936349
