"treatment_id","deltaS","alphaA","deltaN","gammaN","rhoBA","sigmaBA","rhoCP","sigmaCP","rhoCO","sigmaCO","rhoDA","sigmaDA","Game_type.x","n_obs.x","se_deltaS","se_alphaA","se_deltaN","se_gammaN","se_rhoBA","se_sigmaBA","se_rhoCP","se_sigmaCP","se_rhoCO","se_sigmaCO","se_rhoDA","se_sigmaDA","Game_type.y","n_obs.y","weight_SE"
"2007Lis165_1b",0.819674194186,0.0901628764654299,1.23326664462636,1.1634401544057,0,-0.300953306456472,0.112618706578755,0,0.141528592367267,-0.656849722517283,0.141528592367267,-0.656849722517281,"ToG",46,0.115057919704229,0.0575289644564839,0.324279447643923,0.882489785235405,0,0.4378517020335,0.0695500918570393,0,0.0762126621190698,0.553014031052938,0.0762126621190698,0.553014031052937,"ToG",46,2116
"2013Kru001_1b",0.204396265110377,0.397801867444742,0.638928480015553,1.95232051308856,0,0.696021994294402,0.518064807315304,0,0.493482100950196,0.178194318205622,0.493482100950196,0.178194318205622,"ToG",54,0.0460485707938032,0.0230242853969085,0.176666874825009,0.499296386395643,0,0.0650192720273924,0.0477806057253647,0,0.0537732994168887,0.130796418357959,0.0537732994168887,0.130796418357959,"ToG",54,2916
"Average",0.487424112485163,0.256287931594259,0.912324035736523,1.58943554809444,0,0.237413355949,0.331559600976491,0,0.331583487002049,-0.205925940526914,0.331583487002049,-0.205925940526914,NA,100,0.0824355851571048,0.0412177952809382,0.249611926690653,0.686988078246186,0,0.288213919630673,0.0579401580052056,0,0.0641724904726074,0.372176904869239,0.0641724904726074,0.372176904869239,NA,100,5032
