"treatment_id","deltaS","alphaA","deltaN","gammaN","rhoBA","sigmaBA","rhoCP","sigmaCP","rhoCO","sigmaCO","rhoDA","sigmaDA","Game_type.x","n_obs.x","se_deltaS","se_alphaA","se_deltaN","se_gammaN","se_rhoBA","se_sigmaBA","se_rhoCP","se_sigmaCP","se_rhoCO","se_sigmaCO","se_rhoDA","se_sigmaDA","Game_type.y","n_obs.y","weight_SE"
"2020And089_1",-0.0176527690711293,0.508826384313864,-0.119208337460504,-4.26260386516789,0,0.998617946930693,0.583777645258072,0,0.474646733247483,0.537764934302977,0.474646733247509,0.537764934302959,"DON",191,0.0052961261840527,0.0026480630845921,0.0239069251359702,0.933645819225459,0,0.0027894282400694,0.0152733513687387,0,0.0055648009414788,0.0057170881052257,0.0055648009414781,0.0057170881052242,"DON",191,36481
"2020And089_2",-0.0116178418169918,0.505808921412471,-0.0727920150607353,-2.53679183042068,0,0.994679832457982,0.574363342543854,0,0.478780538517148,0.529852213169095,0.478780538517148,0.529852213169095,"DON",183,0.005214340452785,0.0026071702375367,0.0234641258125328,0.951204126277287,0,0.0028383522025737,0.0135165979115912,0,0.0057949269721532,0.005833942641576,0.0057949269721532,0.005833942641576,"DON",183,33489
"Average",-0.0146998501205754,0.507349925193664,-0.0964966075162321,-3.41815573051885,0,0.996691008565703,0.579171181630527,0,0.47666942406125,0.533893201769553,0.476669424061263,0.533893201769544,NA,374,0.00525714070067047,0.00262857035172082,0.023696025221512,0.942090397440941,0,0.00281295036872287,0.014459190966148,0,0.00567610796086919,0.00577331207002454,0.00567610796086883,0.00577331207002377,NA,374,69970
