"paper_id","treatment_id","subject_id","scenarios","choice","A","endowment","mean_app","sd_app","Game_type","female","age","Design","payoff","other_payoff_ahead","other_payoff_behind","id"
"2007Lis165","2007Lis165_1a","2007Lis165_1a_12",0.5,1,0,5,-0.571071429976395,0.590911117049045,"DG",,,"Between",4.5,4,0,4
"2007Lis165","2007Lis165_1a","2007Lis165_1a_3",0.5,0,0,5,-0.571071429976395,0.590911117049045,"DG",,,"Between",4.5,4,0,18
"2007Lis165","2007Lis165_1a","2007Lis165_1a_4",0.5,0,0,5,-0.571071429976395,0.590911117049045,"DG",,,"Between",4.5,4,0,19
"2007Lis165","2007Lis165_1a","2007Lis165_1a_11",0.5,0.5,1,5,-0.571071429976395,0.590911117049045,"DG",,,"Between",4.5,4,0,3
"2007Lis165","2007Lis165_1a","2007Lis165_1a_7",0.5,0,0,5,-0.571071429976395,0.590911117049045,"DG",,,"Between",4.5,4,0,22
"2007Lis165","2007Lis165_1a","2007Lis165_1a_16",0.5,2,0,5,-0.571071429976395,0.590911117049045,"DG",,,"Between",4.5,4,0,8
"2007Lis165","2007Lis165_1a","2007Lis165_1a_6",0.5,0,0,5,-0.571071429976395,0.590911117049045,"DG",,,"Between",4.5,4,0,21
"2007Lis165","2007Lis165_1a","2007Lis165_1a_24",0.5,5,0,5,-0.571071429976395,0.590911117049045,"DG",,,"Between",4.5,4,0,17
"2007Lis165","2007Lis165_1a","2007Lis165_1a_21",0.5,2.5,0,5,-0.571071429976395,0.590911117049045,"DG",,,"Between",4.5,4,0,14
"2007Lis165","2007Lis165_1a","2007Lis165_1a_5",0.5,0,0,5,-0.571071429976395,0.590911117049045,"DG",,,"Between",4.5,4,0,20
"2007Lis165","2007Lis165_1a","2007Lis165_1a_9",0.5,0.5,1,5,-0.571071429976395,0.590911117049045,"DG",,,"Between",4.5,4,0,24
"2007Lis165","2007Lis165_1a","2007Lis165_1a_8",0.5,0.5,1,5,-0.571071429976395,0.590911117049045,"DG",,,"Between",4.5,4,0,23
"2007Lis165","2007Lis165_1a","2007Lis165_1a_1",1,0,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,1
"2007Lis165","2007Lis165_1a","2007Lis165_1a_15",1,2,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,7
"2007Lis165","2007Lis165_1a","2007Lis165_1a_3",1,0,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,18
"2007Lis165","2007Lis165_1a","2007Lis165_1a_17",1,2.5,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,9
"2007Lis165","2007Lis165_1a","2007Lis165_1a_18",1,2.5,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,10
"2007Lis165","2007Lis165_1a","2007Lis165_1a_2",1,0,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,12
"2007Lis165","2007Lis165_1a","2007Lis165_1a_23",1,3,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,16
"2007Lis165","2007Lis165_1a","2007Lis165_1a_19",1,2.5,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,11
"2007Lis165","2007Lis165_1a","2007Lis165_1a_16",1,2,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,8
"2007Lis165","2007Lis165_1a","2007Lis165_1a_4",1,0,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,19
"2007Lis165","2007Lis165_1a","2007Lis165_1a_20",1,2.5,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,13
"2007Lis165","2007Lis165_1a","2007Lis165_1a_5",1,0,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,20
"2007Lis165","2007Lis165_1a","2007Lis165_1a_22",1,2.5,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,15
"2007Lis165","2007Lis165_1a","2007Lis165_1a_14",1,1,1,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,6
"2007Lis165","2007Lis165_1a","2007Lis165_1a_12",1,1,1,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,4
"2007Lis165","2007Lis165_1a","2007Lis165_1a_8",1,0.5,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,23
"2007Lis165","2007Lis165_1a","2007Lis165_1a_13",1,1,1,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,5
"2007Lis165","2007Lis165_1a","2007Lis165_1a_24",1,5,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,17
"2007Lis165","2007Lis165_1a","2007Lis165_1a_6",1,0,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,21
"2007Lis165","2007Lis165_1a","2007Lis165_1a_7",1,0,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,22
"2007Lis165","2007Lis165_1a","2007Lis165_1a_11",1,0.5,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,3
"2007Lis165","2007Lis165_1a","2007Lis165_1a_10",1,0.5,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,2
"2007Lis165","2007Lis165_1a","2007Lis165_1a_21",1,2.5,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,14
"2007Lis165","2007Lis165_1a","2007Lis165_1a_9",1,0.5,0,5,-0.419523813894817,0.525021870965567,"DG",,,"Between",4,3,0,24
"2007Lis165","2007Lis165_1a","2007Lis165_1a_20",1.5,2.5,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,13
"2007Lis165","2007Lis165_1a","2007Lis165_1a_15",1.5,2,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,7
"2007Lis165","2007Lis165_1a","2007Lis165_1a_13",1.5,1,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,5
"2007Lis165","2007Lis165_1a","2007Lis165_1a_14",1.5,1,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,6
"2007Lis165","2007Lis165_1a","2007Lis165_1a_23",1.5,3,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,16
"2007Lis165","2007Lis165_1a","2007Lis165_1a_1",1.5,0,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,1
"2007Lis165","2007Lis165_1a","2007Lis165_1a_19",1.5,2.5,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,11
"2007Lis165","2007Lis165_1a","2007Lis165_1a_16",1.5,2,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,8
"2007Lis165","2007Lis165_1a","2007Lis165_1a_2",1.5,0,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,12
"2007Lis165","2007Lis165_1a","2007Lis165_1a_8",1.5,0.5,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,23
"2007Lis165","2007Lis165_1a","2007Lis165_1a_18",1.5,2.5,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,10
"2007Lis165","2007Lis165_1a","2007Lis165_1a_12",1.5,1,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,4
"2007Lis165","2007Lis165_1a","2007Lis165_1a_3",1.5,0,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,18
"2007Lis165","2007Lis165_1a","2007Lis165_1a_11",1.5,0.5,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,3
"2007Lis165","2007Lis165_1a","2007Lis165_1a_7",1.5,0,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,22
"2007Lis165","2007Lis165_1a","2007Lis165_1a_6",1.5,0,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,21
"2007Lis165","2007Lis165_1a","2007Lis165_1a_21",1.5,2.5,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,14
"2007Lis165","2007Lis165_1a","2007Lis165_1a_24",1.5,5,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,17
"2007Lis165","2007Lis165_1a","2007Lis165_1a_5",1.5,0,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,20
"2007Lis165","2007Lis165_1a","2007Lis165_1a_10",1.5,0.5,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,2
"2007Lis165","2007Lis165_1a","2007Lis165_1a_9",1.5,0.5,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,24
"2007Lis165","2007Lis165_1a","2007Lis165_1a_4",1.5,0,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,19
"2007Lis165","2007Lis165_1a","2007Lis165_1a_22",1.5,2.5,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,15
"2007Lis165","2007Lis165_1a","2007Lis165_1a_17",1.5,2.5,0,5,-0.157976193442231,0.495980912852103,"DG",,,"Between",3.5,2,0,9
