-------------------------------------------------------------------------------------------------------------------------------------------------------------
      name:  <unnamed>
       log:  C:\Users\aguido\Documents\GitHub\Social_norm_meta_analysis\Analysis\../prova/output.log
  log type:  text
 opened on:   6 Sep 2023, 08:51:43

. matlist v

             |        c1         c2         c3 
        r139 | -1.937815   .8343459    .020203 
        r140 | -.4761117   2.656045   .8577368 
        r141 | -2.660732   1.769586   .1326869 
        r142 | -1.563258   1.637356   .3397065 
        r143 | -2.123651   1.037137   .0405984 
        r144 | -.8336424   1.794343   .6422216 
        r145 |  -4.12606   1.470109   .0050062 
        r146 |  .0259683    1.28627   .9838928 
        r147 | -.7234283   1.462553   .6208587 
        r148 | -.8934851    2.52736   .7236948 
        r149 | -3.216511   1.168677   .0059185 
        r150 | -2.562187   1.948143   .1884447 
        r151 | -1.914693   1.688099   .2566979 
        r152 | -2.269287   1.198531    .058306 
        r153 | -.8471077   1.809252   .6396353 
        r154 | -1.446815   1.756014    .409985 
        r155 | -3.543126   1.439785     .01386 
        r156 | -.6660253   1.973033   .7356917 
        r157 | -3.462792   1.217109   .0044398 
        r158 | -1.201544   1.827758   .5109323 
        r159 |  -1.86837    2.57952    .468876 
        r160 | -4.323232   1.842013   .0189245 
        r161 |  -4.08737   1.503515    .006557 
        r162 | -4.806781   2.168543   .0266508 
        r163 | -2.838432   .7134676   .0000694 
        r164 | -1.633398   1.326737   .2182707 
        r165 |  .0662888   1.341199   .9605806 
        r166 | -1.670705   1.842717   .3645903 
        r167 | -.7689166   1.222541   .5293822 
        r168 | -2.129577   1.882631   .2579833 
        r169 |  -1.88811   1.329651   .1556066 
        r170 | -2.963781   1.001981   .0030972 
        r171 | -1.440109   1.416644    .309361 
        r172 | -1.719714   1.692194   .3095041 
        r173 | -2.024255   1.405863   .1499052 
        r174 | -3.534477   1.471353    .016297 
        r175 | -.7308831   2.459321   .7663222 
        r176 | -.1268565   2.004569   .9495406 
        r177 |  -1.17768   2.073126   .5699877 
        r178 | -3.863983   1.805343   .0323302 
        r179 | -1.801595    2.19299   .4113475 
        r180 | -2.568553   1.164233   .0273686 
        r181 | -1.703456   .7040592   .0155428 
        r182 | -1.874267   1.132353   .0978846 
        r183 | -2.248915   1.477615   .1280117 
        r184 | -2.421797   2.265757   .2851287 
        r185 | -.8427662   .8941853   .3459387 
        r186 | -3.758108   1.199268   .0017264 
        r187 | -.9893322   .9625556   .3040354 
        r188 | -1.432911   .9429462    .128609 
        r189 | -2.126864   1.540499   .1673916 
        r190 | -1.691158   1.564052   .2795785 
        r191 | -4.771824    1.60755   .0029937 
        r192 | -3.433494    1.77614   .0532212 
        r193 | -2.116543   1.852335   .2531901 
        r194 | -2.482948   1.347919   .0654664 
        r195 | -3.198868   2.046571   .1180436 
        r196 | -3.581156   1.336382   .0073679 
        r197 | -3.182534   1.770928   .0723198 
        r198 | -3.502777   1.684599   .0375904 
        r199 | -2.404161   1.064705   .0239423 
        r200 |  -2.57064   1.299588    .047924 

. matlist j

             |        c1         c2         c3 
-------------+---------------------------------
          r1 | -3.610866   .9665382   .0001871 
          r2 | -2.562213   .9728123    .008443 
          r3 | -4.244648   1.965706    .030823 
          r4 | -2.599526   .8578049    .002442 
          r5 |  -3.23437   .7627256   .0000223 
          r6 | -2.357785   1.125214   .0361346 
          r7 | -3.198547   1.733278    .064983 
          r8 | -2.443545   1.514516   .1066541 
          r9 | -2.766717   1.632762   .0901701 
         r10 | -3.229675    1.12745   .0041756 
         r11 | -3.032444   1.022732   .0030264 
         r12 | -2.460201   .9803458   .0120894 
         r13 | -2.643181   .9168262   .0039395 
         r14 | -2.687601   1.032291   .0092269 
         r15 | -2.733399    .970247   .0048441 
         r16 | -2.697606   .9347211   .0039017 
         r17 | -3.340035   .9419921   .0003915 
         r18 | -.3685912   1.112586   .7404237 
         r19 | -3.142011   1.267155   .0131538 
         r20 |   -2.2538   .8602813   .0087971 
         r21 | -2.989872   .5938284   4.78e-07 
         r22 | -2.359395   1.173808   .0444275 
         r23 |  -2.23364   1.131782   .0484318 
         r24 | -2.213586    1.04945   .0349202 
         r25 | -2.953792   1.168137   .0114507 
         r26 | -1.341438   .8291478   .1056946 
         r27 | -2.705818   1.051099   .0100451 
         r28 | -3.200876   1.029599   .0018781 
         r29 | -3.596576   .9569634   .0001711 
         r30 | -4.438586   1.164902   .0001388 
         r31 | -2.572546   1.024417   .0120311 
         r32 | -2.552777   .9941152    .010232 
         r33 | -3.316551   1.386502   .0167555 
         r34 | -2.229887   .9474241    .018591 
         r35 | -2.594127   1.391066   .0622027 
         r36 | -3.834918   1.024564   .0001819 
         r37 |  -3.30987   1.300821   .0109451 
         r38 | -4.233773   1.185905   .0003569 
         r39 | -1.354381    1.12109   .2270115 
         r40 | -3.247104   .6600713   8.68e-07 
         r41 | -3.092941     1.2396   .0125917 
         r42 | -.9857655   1.242602   .4275988 
         r43 | -3.463449   .8830625   .0000878 
         r44 | -2.789033   .9959733   .0051054 
         r45 | -3.111365   .8196058   .0001469 
         r46 | -3.179193   1.131598   .0049623 
         r47 | -1.910476   1.007344   .0578877 
         r48 | -4.334146   1.407295   .0020716 
         r49 | -3.435336   1.469002   .0193587 
         r50 | -3.257178   1.338152   .0149294 
         r51 | -1.023577   1.399872    .464661 
         r52 | -1.407888   .9602218   .1425908 
         r53 | -3.293324   .9833693    .000811 
         r54 | -4.014892   1.668317   .0161039 
         r55 | -3.201283   .7627627   .0000271 
         r56 | -2.520267   .9473474   .0078061 
         r57 |  -2.89895   .6994275    .000034 
         r58 | -2.577961   .9837812   .0087811 
         r59 | -2.802791   1.227172   .0223749 
         r60 | -2.427127   1.010767   .0163382 
         r61 | -3.702963   .7525321   8.62e-07 
         r62 | -2.629755    .631705   .0000314 
         r63 | -3.399745   .9510504   .0003506 
         r64 |  -1.57725    1.59969   .3241465 
         r65 | -2.213933   1.404439   .1149376 
         r66 | -3.306475   .7354289   6.92e-06 
         r67 | -2.781654   1.008087   .0057918 
         r68 |  -2.62265     1.4781   .0760072 
         r69 | -3.003546   1.093991    .006042 
         r70 | -1.967888   1.584148   .2141491 
         r71 | -3.776464   .9801515   .0001167 
         r72 |  -3.69268   1.047232   .0004217 
         r73 | -2.709665   1.390636   .0513542 
         r74 |   -2.7909   .9451959   .0031499 
         r75 | -2.266043    1.29536   .0802298 
         r76 | -1.924436   1.736284   .2677042 
         r77 | -2.094022   1.092976    .055379 
         r78 | -3.297733   .7744322   .0000206 
         r79 | -2.840375   1.102471   .0099843 
         r80 | -2.721075   .9736509   .0051946 
         r81 | -2.233961   .9154782   .0146786 
         r82 | -3.682326   1.781584   .0387452 
         r83 | -3.197562   .5388088   2.95e-09 
         r84 | -1.543318   .9995431   .1225825 
         r85 | -4.580267   1.858549   .0137231 
         r86 | -4.171285   1.021744   .0000446 
         r87 | -1.855528    1.41405     .18945 
         r88 | -2.376882   1.159601   .0403897 
         r89 | -2.736081   1.055807    .009557 
         r90 | -1.850142   1.390723   .1834044 
         r91 | -2.377891   .7459655   .0014342 
         r92 | -4.131088   1.135642   .0002751 
         r93 | -1.401385    .887324   .1142583 
         r94 | -2.153967   1.082511   .0466142 
         r95 | -1.511365   .6870084   .0278124 
         r96 | -2.950018   .9001839   .0010487 
         r97 | -2.184899   1.226677   .0748874 
         r98 | -3.255446   1.281412   .0110689 
         r99 | -2.483975   1.724588   .1497741 
        r100 |  -3.08801    1.67338   .0649833 
        r101 | -2.751996    1.43861   .0557538 
        r102 | -2.811176   1.020937   .0058957 
        r103 | -2.671122   .9309086   .0041129 
        r104 | -1.187336   .6870407   .0839544 
        r105 | -3.048611   1.114957   .0062516 
        r106 | -3.530402   1.196017   .0031593 
        r107 | -2.124883   1.137922   .0618547 
        r108 | -3.028188    1.20698   .0121109 
        r109 |  -3.23969   1.757957   .0653477 
        r110 | -3.721598   1.736396   .0320899 
        r111 | -2.794075   1.096585   .0108349 
        r112 | -3.945338   1.528204    .009832 
        r113 | -2.797631   1.137131   .0138839 
        r114 | -2.918185   1.074809   .0066261 
        r115 | -1.584809   .8197103   .0531898 
        r116 |  -2.57141   1.156267   .0261559 
        r117 | -1.383539   1.308788   .2904593 
        r118 | -2.223653   1.099293   .0430935 
        r119 | -3.094681   .7721656   .0000613 
        r120 | -4.109875   1.458442   .0048325 
        r121 | -4.000759   .9366715   .0000194 
        r122 | -1.422453   1.440794   .3235102 
        r123 | -2.474403   1.184445   .0367004 
        r124 | -3.714068   1.063857    .000481 
        r125 | -2.553916   .8816357     .00377 
        r126 | -1.776867   .8144321   .0291299 
        r127 | -3.887523   1.088207   .0003537 
        r128 | -2.605355   1.078919   .0157446 
        r129 | -3.735215   1.673513   .0256175 
        r130 | -1.992286   1.581486   .2077575 
        r131 | -.7857477   1.847885   .6706802 
        r132 | -1.511204   1.491582    .310986 
        r133 | -2.914817   1.160225   .0119952 
        r134 |  -2.55166   1.050308   .0151222 
        r135 | -3.491728   1.258279   .0055201 
        r136 | -3.486474   1.125699   .0019538 
        r137 | -2.747112   1.065436   .0099261 
        r138 | -1.325783   1.177686   .2602701 
        r139 |  -2.32148   .7668793   .0024685 
        r140 | -1.518985   1.559206    .329955 
        r141 | -3.120311   1.002198    .001849 
